,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
19546,1434605,괴산 백운사 승탑군,12,33,36.8547850932,127.6682898114,충청북도 괴산군 사리면 사리로소매2길 125-146,
19554,126006,괴산 송덕리 미선나무 자생지,12,33,36.7946302716,127.9384728287,충청북도 괴산군 장연면 송덕리,산 58
19581,128383,구병리아름마을,12,33,36.4798428886,127.8712876872,충청북도 보은군 속리산면 구병길 6,
19592,127618,금강유원지,12,33,36.2794511106,127.6737219567,충청북도 옥천군 동이면 금강로 596,
19593,2769996,금석저수지,12,33,36.9906878948,127.6130992751,충청북도 음성군 금왕읍 육령리 461-1,
19612,127753,노은영당,12,33,36.9235392848,127.4160939038,충청북도 진천군 이월면 논실길 113-10,
19624,125861,단양 고수동굴,12,33,36.9884523536,128.3815386863,충청북도 단양군 단양읍 고수동굴길 8,
19635,125854,단양 온달동굴,12,33,37.0590489161,128.4821998301,충청북도 단양군 영춘면 온달로 23,
19683,127792,만뢰산,12,33,36.8533764894,127.3365363567,충청북도 진천군 백곡면 대문리,산 2-9 일원
19689,2662414,만천하 짚와이어,12,33,36.9776749798,128.3370707587,충청북도 단양군 적성면 옷바위길 10,
19696,127969,명암유원지,12,33,36.6441231341,127.5121180426,충청북도 청주시 상당구 성내로124번길 14,(산성동)
19725,250455,미타사(음성),12,33,36.9553746485,127.7300814159,충청북도 음성군 소이면 소이로61번길 164,
19727,407414,민주지산 자연휴양림,12,33,36.0534823501,127.824392494,충청북도 영동군 용화면 휴양림길 60,
19728,2783123,민주지산 치유의 숲,12,33,36.053204603,127.824345283,충청북도 영동군 용화면 휴양림길 60,
19735,1087407,반기문 유엔사무총장 생가마을,12,33,36.8922112791,127.6646724156,충청북도 음성군 원남면 행치길 17-1,(원남면)
19746,2761716,백야자연휴양림,12,33,36.956888947,127.6096672051,충청북도 음성군 금왕읍 백야로 461-97,
19796,2481741,산모랭이풀내음,12,33,36.5110211998,127.6373299514,충청북도 보은군 내북면 산척상궁로 421-100,
19807,1626760,상현서원,12,33,36.4781334324,127.7986136681,충청북도 보은군 장안면 장안로 225,(장안면)
19839,3075120,속리산세조길,12,33,36.5413295978,127.8327560809,충청북도 보은군 속리산면 법주사로 405,
19851,1956238,송천서원,12,33,36.7391082274,127.444085408,충청북도 청주시 청원구 오창읍 오창양지길 22-13,
19865,319698,수정암(충북),12,33,36.5415462369,127.832619976,충청북도 보은군 속리산면 법주사로 379,(속리산면)
19882,128020,앙성탄산온천,12,33,37.0938432626,127.7970992194,충청북도 충주시 앙성면 가곡로 1457,
19903,252584,영동 가학루,12,33,36.2279530282,127.9165906304,충청북도 영동군 황간면 남성리,
19908,3061805,영동 레인보우 힐링 관광지,12,33,36.1621692737,127.7855013194,충청북도 영동군 영동읍 매천리,"매천리, 산익리 일원"
19911,252594,영동 삼괴당,12,33,36.1483370068,127.911382172,충청북도 영동군 상촌면 임산3길 28-13,(상촌면)
19935,125838,옥계폭포,12,33,36.2125642841,127.6728294189,충청북도 영동군 심천면 난계로 2,
19979,125975,원호 유허비 및 관란정,12,33,37.2167917232,128.3265480373,충청북도 제천시 송학면 장곡리,
19988,3071456,율봉근린공원,12,33,36.6642567907,127.5040876496,충청북도 청주시 청원구 1순환로 78 (율량동),
19993,129340,음성 하당골녹색체험마을,12,33,36.9076902678,127.6764264775,충청북도 음성군 원남면 하초로 74,
19995,1938278,음성동요마을,12,33,37.0273950874,127.6301411462,충청북도 음성군 생극면 오신로342번길 27,
19997,129275,음성큰바위얼굴테마파크,12,33,37.0329240101,127.5754320289,충청북도 음성군 생극면 일생로 500,(생극면)
20002,2778945,이끼터널,12,33,36.9620267104,128.3335520847,충청북도 단양군 적성면 애곡리 129-2,
20016,125876,정방사,12,33,36.9991756275,128.2066429304,충청북도 제천시 수산면 옥순봉로12길 165,
20026,1683410,제천 백련사 목조아미타여래좌상,12,33,37.2282590969,128.1385368245,충청북도 제천시 봉양읍 명암로5길 414,
20054,1992621,제천한방자연치유센터,12,33,37.0099024109,128.2194525824,충청북도 제천시 청풍면 학현소야로 324,
20057,127290,조령민속공예촌,12,33,36.7839218374,128.0172771866,충청북도 괴산군 연풍면 원풍로 224-11,
