,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
18118,126897,강릉 대공산성,12,32,37.736626283,128.7693064482,강원특별자치도 강릉시 성산면 보현길 396,
18133,128360,강릉 한울타리마을,12,32,37.6176360265,128.9916900986,강원특별자치도 강릉시 옥계면 풍동로 406,(옥계면)
18140,125787,강릉향교,12,32,37.7635561721,128.8952470467,강원특별자치도 강릉시 명륜로 29,(교동)
18156,129391,개미들마을,12,32,37.3190202362,128.6927565739,강원특별자치도 정선군 남면 광락로 354,(남면)
18159,2714723,거문산,12,32,37.5202031815,128.433154429,강원특별자치도 평창군 대화면 대화리 산 560,
18165,128749,거진항,12,32,38.4465127542,128.4598152167,강원특별자치도 고성군 거진읍 거진항1길 62-3,(거진읍) 일대
18167,127228,건봉사,12,32,38.4037217209,128.3781573424,강원특별자치도 고성군 거진읍 건봉사로 723,(거진읍)
18212,2710586,공지천유원지,12,32,37.8746901179,127.7096010535,강원특별자치도 춘천시 이디오피아길 25,(근화동)
18252,125420,국립 삼봉자연휴양림,12,32,37.8521347278,128.4608696552,강원특별자치도 홍천군 내면 삼봉휴양길 276,
18273,2385045,금강산전기철도교량,12,32,38.2575770502,127.1663088494,강원특별자치도 철원군 철원읍 평화로 3591,
18287,2615443,기린성당,12,32,37.9560838401,128.3195154001,강원특별자치도 인제군 기린면 기린로42번길 9-5,
18307,3022773,까막바위,12,32,37.5567539213,129.1215275458,강원특별자치도 동해시 묵호진동,2-551
18359,1957499,대관령 관광특구,12,32,37.6487487373,128.686641589,강원특별자치도,"강릉시, 동해시, 삼척시, 횡성군, 평창군 일원"
18399,2714727,도계유리마을,12,32,37.21290299,129.0385760403,강원특별자치도 삼척시 도계읍 도계로 31,
18421,129454,동명항,12,32,38.2114151114,128.599818177,강원특별자치도 속초시 영금정로 50,
18428,561874,동송저수지,12,32,38.3064316009,127.2714921831,강원특별자치도 철원군 동송읍 강산리,
18433,2711056,동해약천온천실버타운,12,32,37.5942068674,129.0669812828,강원특별자치도 동해시 석두골길 145,
18440,2569489,두루미평화마을,12,32,38.2648151444,127.1691555961,강원특별자치도 철원군 철원읍 묘장로 301,
18459,125741,딴산,12,32,38.1223566719,127.7609195332,강원특별자치도 화천군 화천읍 대이리,
18471,2786179,마운틴코스터,12,32,37.630320097,128.6755125974,강원특별자치도 평창군 대관령면 올림픽로 715,
18551,2727740,반암항,12,32,38.4246320152,128.4618518294,강원특별자치도 고성군 거진읍 자산천로 102-15,
18616,129267,봉산서재,12,32,37.5994902544,128.3815539229,강원특별자치도 평창군 봉평면 봉산서재길 17,
18643,128094,비수구미마을(비수구미계곡),12,32,38.1828706939,127.8479180959,강원특별자치도 화천군 화천읍 비수구미길 470,(화천읍)
18718,2717599,서곡정사석조약사여래입상,12,32,37.171119342,128.3338515028,강원특별자치도 영월군 한반도면 용정원길 86-17,
18754,129417,세계 평화의종 공원,12,32,38.2102342459,127.8520835527,강원특별자치도 화천군 화천읍 평화로 3481-18,
18825,125654,순담계곡,12,32,38.1755640602,127.2976020024,강원특별자치도 철원군 갈말읍 순담길 143-3,(갈말읍)
18845,2773007,심곡항,12,32,37.665765007,129.0533302954,강원특별자치도 강릉시 강동면 헌화로 648-8,
18887,2616524,양구백토 (강원평화지역 국가지질공원),12,32,38.2074808928,127.9515051132,강원특별자치도 양구군 방산면 평화로 5182,
18941,125755,영은사(삼척),12,32,37.2828797335,129.2557211872,강원특별자치도 삼척시 근덕면 궁촌길 1162,(근덕면)
18951,127922,오대산 소금강계곡,12,32,37.8306548995,128.6576247467,강원특별자치도 강릉시 연곡면 삼산리,
18990,2569470,용머리 공원,12,32,38.1221525378,127.982293788,강원특별자치도 양구군 파로호로869번길 109,
19052,2799163,월정사부도군,12,32,37.7899715451,128.556190713,강원특별자치도 평창군 진부면 오대산로 1211-92,동산리 산1
19083,2922700,이사부광장,12,32,37.4400854117,129.1921525959,강원특별자치도 삼척시 정하동 41-282,
19098,2041021,인제 하늘여울소치마을,12,32,37.9594770624,128.1303991324,강원특별자치도 인제군 남면 부평정자로 744,(남면)
19102,128165,인제한계사지,12,32,38.1203012665,128.3410084121,강원특별자치도 인제군 북면 한계리,
19155,129029,주문리마을,12,32,37.8925649039,128.8270019814,강원특별자치도 강릉시 주문진읍 주문로,일대
19169,125681,지경리해변,12,32,37.9204639845,128.8032171516,강원특별자치도 양양군 현남면 동해대로 62,
19181,2949793,찜질하우스,12,32,37.3427828517,127.886397873,강원특별자치도 원주시 원문로 865-5,2층
19186,2715993,척산족욕공원,12,32,38.1860974964,128.5423075246,강원특별자치도 속초시 관광로 277,
19227,2607673,청초호 둘레길,12,32,38.1969414507,128.5820424661,강원특별자치도 속초시 엑스포로 140,
19253,128644,춘천김정은가옥,12,32,37.8449717137,127.729000169,강원특별자치도 춘천시 신동면 솟발1길 44,(신동면)
19271,125780,춘천향교,12,32,37.8815869943,127.7341180616,강원특별자치도 춘천시 삭주로 21,
