,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
39433,1625224,고부향교,12,37,35.6216686028,126.7707336667,전북특별자치도 정읍시 고부면 교동4길 18,
39461,2778914,공룡테마공원,12,37,35.9907045238,127.102605645,전북특별자치도 익산시 왕궁면 호반로 8,
39472,126328,교룡산국민관광지,12,37,35.4279729781,127.3643137624,전북특별자치도 남원시 산성순환길 714,
39488,1610474,구장군폭포,12,37,35.4083228536,127.0668822579,전북특별자치도 순창군 팔덕면 청계리,
39498,2704650,군산 3.1운동 100주년 기념관,12,37,35.986982064,126.7422712611,전북특별자치도 군산시 영명길 29,(구암동)
39503,3025794,군산 부윤관사,12,37,35.984706723,126.7071466842,전북특별자치도 군산시 월명로 493 (월명동),
39509,914536,군산 해망굴,12,37,35.9911698337,126.7047828394,전북특별자치도 군산시 군산창2길 48,(해망동)
39511,3025912,군산어린이교통공원,12,37,35.9607795808,126.5841527506,전북특별자치도 군산시 동장산로 135 (소룡동),
39538,2782910,기지제,12,37,35.8460758643,127.0627518776,전북특별자치도 전주시 덕진구 장동 1110,
39560,250308,남문안당산,12,37,35.7308250252,126.7349562885,전북특별자치도 부안군 부안읍 남문안길 10,
39570,1607729,남원 진기리 느티나무,12,37,35.4959496219,127.4219818974,전북특별자치도 남원시 보절면 보절신기길 14-3,(보절면) 부근
39639,126320,덕진공원,12,37,35.8475156135,127.1218687977,전북특별자치도 전주시 덕진구 권삼득로 390,
39646,1956969,도동서원(고창),12,37,35.4779705412,126.7419148771,전북특별자치도 고창군 신림면 가평1길 64,
39663,127538,두남천,12,37,35.8430101674,127.4170787716,전북특별자치도 진안군 부귀면 두남리 170,
39688,128609,만돌갯벌체험학습장,12,37,35.5301302431,126.5150115273,전북특별자치도 고창군 심원면 애향갯벌로 320,
39711,127689,모항해수욕장,12,37,35.58286024,126.5077441836,전북특별자치도 부안군 변산면 모항길 22,
39752,126245,미륵산(익산),12,37,36.0258300361,127.0429294914,전북특별자치도 익산시 금마면 신용리,
39784,2605243,뱀사골 와운마을,12,37,35.3626676626,127.5922814381,전북특별자치도 남원시 산내면 와운길 249,
39790,126239,변산반도국립공원,12,37,35.6418575196,126.5797696087,전북특별자치도 부안군 변산면 방파제길 11,
39796,1956995,보령서원,12,37,35.6574544002,126.6645283253,전북특별자치도 부안군 상서면 봉은길 90-5,
39822,1608822,부안향교,12,37,35.7314192819,126.7278457962,전북특별자치도 부안군 부안읍 당간지주1길 15,
39825,1580147,분양서원,12,37,35.9548552709,127.8574727941,전북특별자치도 무주군 무풍면 지성길 119,(무풍면)
39830,2615342,비비정예술열차,12,37,35.8989921483,127.0677778248,전북특별자치도 완주군 삼례읍 비비정길 73-21,
39851,317570,상원사(고창),12,37,35.446390629,126.7323720775,전북특별자치도 고창군 고창읍 월곡리,
39908,2759662,세병공원,12,37,35.876867983,127.1307950117,전북특별자치도 전주시 덕진구 송천동2가 1316,
39933,250311,순창 충신리 석장승,12,37,35.376980574,127.1482786299,전북특별자치도 순창군 순창읍 장류로 407-11,
39935,2663368,순창건강장수체험과학관,12,37,35.4299159695,127.1319703843,전북특별자치도 순창군 인계면 인덕로 427-127,
39945,319705,승련사(남원),12,37,35.4902396985,127.4530515202,전북특별자치도 남원시 산동면 요천로 2675-90,(산동면)
39982,337432,약수암(전주),12,37,35.8450776364,127.1583906107,전북특별자치도 전주시 덕진구 도당산로 46-10,(우아동3가)
39984,1611300,어은정,12,37,35.4237764703,127.2175490762,전북특별자치도 순창군 적성면 평남길 107-32,(적성면)
39990,1954820,여산향교,12,37,36.0548747704,127.0904439278,전북특별자치도 익산시 여산면 여산교동길 23-2,(여산면)
40054,2469199,용담댐 물 문화관,12,37,35.945047749,127.5284883776,전북특별자치도 진안군 안천면 안용로 747,
40059,2778546,용담호자연생태습지공원,12,37,35.8160084606,127.461458879,전북특별자치도 진안군 진안읍 진무로 1514,
40064,1954827,용안향교,12,37,36.1217147729,126.9542765571,전북특별자치도 익산시 용안면 용안교동1길 34-11,
40090,126246,운장산(진안),12,37,35.8826548991,127.3737843468,전북특별자치도 진안군 주천면,"부귀면, 정천면, 완주군 동상면"
40098,347011,원통사(무주),12,37,35.8186679171,127.6992793779,전북특별자치도 무주군 안성면 원통사로 676,
40147,803138,익산 아홉마디풀향기마을,12,37,36.0340678496,126.8745443192,전북특별자치도 익산시 함라면 소룡길 15-14,
40152,231953,익산 입점리 고분,12,37,36.0459053055,126.869841653,전북특별자치도 익산시 웅포면,
40157,126945,익산 토성,12,37,35.9924420801,127.0372808731,전북특별자치도 익산시 금마면 서고도리,산52-2
40160,3025977,익산산림조합산림문화체험관,12,37,36.0586652988,126.8894728967,전북특별자치도 익산시 웅포면 녹차마을길 83-36,
40203,1600674,장철성고택,12,37,35.7703473333,127.0026536441,전북특별자치도 김제시 금구면 서도길 69,(금구면)
40234,2790515,전주드림랜드,12,37,35.8551623554,127.1443249321,전북특별자치도 전주시 덕진구 소리로 68,(덕진동1가)
