,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
36666,3032819,검성지생태공원,12,35,36.1148893102,128.438108617,경상북도 구미시 황상동,
36677,3036201,경상북도교육청 경주안전체험관,12,35,36.0210063497,129.2256085257,경상북도 경주시 안강읍 안현로 1853-12,
36683,1621219,경정해수욕장,12,35,36.4820413681,129.4330268106,경상북도 영덕군 축산면 영덕대게로 1726,
36685,1621597,경주 경덕왕릉,12,35,35.7627292562,129.1877969906,경상북도 경주시 내남면 부지리,산8
36712,250267,경주 동방동 와요지,12,35,35.8097808454,129.2589505343,경상북도 경주시 동방북1길 14,(동방동) 부근
36735,231933,경주 양동 무첨당,12,35,36.0020201213,129.252656696,경상북도 경주시 강동면 양동마을안길 32-19,
36842,1119621,구미 채미정,12,35,36.1125483882,128.3130364201,경상북도 구미시 남통동,
36854,741053,국립 대야산자연휴양림,12,35,36.670906003,127.9619770044,경상북도 문경시 가은읍 용추길 31-35,
36923,2756593,나각산,12,35,36.3836978599,128.3016048326,경상북도 상주시 낙동면 물량리 산65,
36931,2756648,나아해변,12,35,35.7088850915,129.4692239131,경상북도 경주시 양남면 나아4길 17-1,
36950,127159,남호해수욕장,12,35,36.3278661912,129.3799415934,경상북도 영덕군 남정면 동해대로 4142,
36992,128608,대진1리 어촌체험마을,12,35,36.5634042544,129.4288442081,경상북도 영덕군 영해면 공수진길 73-1,
36995,2782886,대풍헌,12,35,36.7612908473,129.4702540694,경상북도 울진군 기성면 구산봉산로 105-2,
37001,1958155,덕림서원,12,35,35.886937702,129.4931694854,경상북도 포항시 남구 장기면 읍내길13번길 47,(장기면)
37049,3032986,등기산등대공원,12,35,36.6817691999,129.4621738391,경상북도 울진군 등기산길 40,
37061,126219,망양정,12,35,36.9654858514,129.4129252029,경상북도 울진군 근남면 산포리,
37062,126100,망양정해수욕장,12,35,36.9687160298,129.4125140305,경상북도 울진군 근남면 망양정로 1016,
37064,3000163,망향정,12,35,35.7343607181,128.9168965348,경상북도 청도군 청려로 4957,
37148,2774281,보문숲머리먹거리촌,12,35,35.8346251949,129.255280703,경상북도 경주시 보문동,(보문동)
37172,3038753,봉정사영산암,12,35,36.6489215375,128.6627873578,경상북도 안동시 봉정사길 222,
37186,317490,부귀사(영천),12,35,36.0256523996,128.7478948761,경상북도 영천시 신녕면 칠밭골길 446,(신녕면)
37216,1958871,사빈서원,12,35,36.5201985718,128.8751416859,경상북도 안동시 임하면 푸레실길 82,
37225,794839,산수정,12,35,36.5537337596,128.5867996412,경상북도 안동시 풍산읍 마애길 70-31,
37258,318181,서악사(안동),12,35,36.5619101314,128.709502394,경상북도 안동시 서악길 67-14,(태화동)
37264,1136251,석포전망대,12,35,37.5389059153,130.9021779272,경상북도 울릉군 북면 천부리,(북면)
37300,547880,소백산단산 포도마을,12,35,36.947630908,128.6162800039,경상북도 영주시 단산면 단산로 817,
